"KAD_GEM_CODE","KAD_NAAM","BURG_NR","BURG_GEM_KODE","BURG_NAAM","BEW_CODE","BEW_NAAM","MAPINFO_ID"
"BDA00","BREDA","0758","BDA00","BREDA","13","BREDA",20046
"BDD00","BIRDAARD","1891","DTM01","DANTUMADIEL","20","LEEUWARDEN",20047
"BDE00","BUNDE","0938","MSN01","MEERSSEN","18","ROERMOND",20048
"BDG00","BODEGRAVEN","1901","BDG01","BODEGRAVEN-REEUWIJK","16","ZOETERMEER",20049
"BDK00","BLESDIJKE","0098","WSL03","WESTSTELLINGWERF","20","LEEUWARDEN",20050
"BDL01","BLADEL","1728","BDL01","BLADEL","19","EINDHOVEN",20051
"BDL02","BUDEL","1706","CND00","CRANENDONCK","19","EINDHOVEN",20052
"BDM00","BEDUM","0005","BDM00","BEDUM","22","GRONINGEN",20053
"BDN00","BEEGDEN","1641","MGW00","MAASGOUW","18","ROERMOND",20054
"BDV00","BREDEVOORT","0197","ATN02","AALTEN","25","ARNHEM",20055
"BDW00","BREDERWIEDE","1708","SWK02","STEENWIJKERLAND","23","ZWOLLE",20056
"BEE01","BEEK EN DONK","1659","LBK03","LAARBEEK","19","EINDHOVEN",20057
"BEE02","BEEK","0888","BEE02","BEEK","18","ROERMOND",20058
"BEE03","BEESD","0236","GDM00","GELDERMALSEN","25","ARNHEM",20059
"BEE05","BEETS","0478","ZVG00","ZEEVANG","24","ALKMAAR",20060
"BEK00","BERGEIJK","1724","BEK00","BERGEIJK","19","EINDHOVEN",20061
"BEL01","OUD-BEIJERLAND","0584","BEL01","OUD-BEIJERLAND","15","ROTTERDAM",20062
"BEL02","ZUID-BEIJERLAND","0588","KRD01","KORENDIJK","15","ROTTERDAM",20063
"BEL03","NIEUW-BEIJERLAND","0588","KRD01","KORENDIJK","15","ROTTERDAM",20064
"BER01","BERG EN TERBLIJT","0994","VKB01","VALKENBURG AAN DE GEUL","18","ROERMOND",20065
"BER02","BERGH","1955","MFL00","MONTFERLAND","25","ARNHEM",20066
"BES00","BEST","0753","BES00","BEST","19","EINDHOVEN",20067
"BFD00","BELFELD","0983","VLO00","VENLO","18","ROERMOND",20068
"BGM01","BEETGUM","1908","MNM00","MENAMERADIEL","20","LEEUWARDEN",20069
"BGM02","BERGUM","0737","TJS00","TYTSJERKSTERADIEL","20","LEEUWARDEN",20070
"BGN01","BERGEN OP ZOOM","0748","BGN01","BERGEN OP ZOOM","13","BREDA",20071
"BGN02","BERGEN (L)","0893","BGN02","BERGEN (L)","18","ROERMOND",20072
"BGN03","BERGEN (N.H.)","0373","BGN03","BERGEN (NH)","24","ALKMAAR",20073
"BGN04","BUGGENUM","1640","LDL00","LEUDAL","18","ROERMOND",20074
"BGR01","BORGER","1681","BGR01","BORGER-ODOORN","21","ASSEN",20075
"BGR02","BINGELRADE","0881","ODB00","ONDERBANKEN","18","ROERMOND",20076
"BGY00","BALGOY","0296","WCN00","WIJCHEN","25","ARNHEM",20077
"BHM00","BERGHEM","0828","OSS00","OSS","19","EINDHOVEN",20078
"BHR01","BORGHAREN","0935","MTT00","MAASTRICHT","18","ROERMOND",20079
"BHR02","BERGHAREN","0296","WCN00","WIJCHEN","25","ARNHEM",20080
"BHZ01","BROEKHUIZEN","1507","HOR03","HORST AAN DE MAAS","18","ROERMOND",20081
"BHZ02","BENTHUIZEN","1672","RWD03","RIJNWOUDE","16","ZOETERMEER",20082
"BIL01","DE BILT","0310","BIL01","DE BILT","17","UTRECHT",20083
"BJA00","BLIJA","1722","FWD02","FERWERDERADIEL","20","LEEUWARDEN",20084
"BKG00","BLESKENSGRAAF","1927","MLW00","MOLENWAARD","15","ROTTERDAM",20085
"BKH00","BLANKENHAM","1708","SWK02","STEENWIJKERLAND","23","ZWOLLE",20086
"BKL01","BERKEL EN RODENRIJS","1621","LSG00","LANSINGERLAND","15","ROTTERDAM",20087
"BKL02","BAKEL EN MILHEEZE","1652","GMT00","GEMERT-BAKEL","19","EINDHOVEN",20088
"BKL03","BREUKELEN SINT PIETERS","1904","SSE00","STICHTSE VECHT","17","UTRECHT",20089
"BKL04","BERKEL","0855","TBG01","TILBURG","13","BREDA",20090
"BKL05","BOEKEL","0755","BKL05","BOEKEL","19","EINDHOVEN",20091
"BKL06","BORKEL EN SCHAFT","0858","VKW00","VALKENSWAARD","19","EINDHOVEN",20092
"BKL07","BREUKELEN-NIJENRODE","1904","SSE00","STICHTSE VECHT","17","UTRECHT",20093
"BKL08","BRAKEL","0297","ZBM00","ZALTBOMMEL","25","ARNHEM",20094
"BKL09","BREUKELEN","1904","SSE00","STICHTSE VECHT","17","UTRECHT",20095
"BKP00","BOSKOOP","0499","BKP00","BOSKOOP","16","ZOETERMEER",20096
"BKW00","BERKENWOUDE","0491","BAB00","BERGAMBACHT","15","ROTTERDAM",20097
"BLC00","BERLICUM","0845","MCG00","SINT-MICHIELSGESTEL","19","EINDHOVEN",20098
"BLE01","BAARLE-NASSAU","0744","BLE01","BAARLE-NASSAU","13","BREDA",20099
"BLE02","BRIELLE","0501","BLE02","BRIELLE","15","ROTTERDAM",20100
"BLK00","BERLIKUM","1908","MNM00","MENAMERADIEL","20","LEEUWARDEN",20101
"BLM00","BALLUM","0060","AML04","AMELAND","20","LEEUWARDEN",20102
"BLN00","BEILEN","1731","DTE00","MIDDEN-DRENTHE","21","ASSEN",20103
"BLO00","BAFLO","0053","WSM04","WINSUM","22","GRONINGEN",20104
"BLW00","BELLINGWOLDE","0007","BLW00","BELLINGWEDDE","22","GRONINGEN",20105
"BMD00","BLOEMENDAAL","0377","BMD00","BLOEMENDAAL","14","AMSTERDAM",20106
"BML01","BEMELEN","1903","EDN01","EIJSDEN-MARGRATEN","18","ROERMOND",20107
"BML02","BEMMEL","1705","LGW01","LINGEWAARD","25","ARNHEM",20108
"BML03","DEN BOMMEL","1924","GRE01","GOEREE-OVERFLAKKEE","15","ROTTERDAM",20109
"BMN01","BRUMMEN","0213","BMN01","BRUMMEN","25","ARNHEM",20110
"BMN02","BATHMEN","0150","DVT00","DEVENTER","23","ZWOLLE",20111
"BMR00","BOXMEER","0756","BMR00","BOXMEER","19","EINDHOVEN",20112
"BMS00","BUURMALSEN","0236","GDM00","GELDERMALSEN","25","ARNHEM",20113
"BNB00","BENNEBROEK","0377","BMD00","BLOEMENDAAL","14","AMSTERDAM",20114
"BNE00","BORNE","0147","BNE00","BORNE","23","ZWOLLE",20115
"BNG00","BEUNINGEN","0209","BNG00","BEUNINGEN","25","ARNHEM",20116
"BNK01","BENNEKOM","0228","EDE01","EDE","25","ARNHEM",20117
"BNK02","BUNNIK","0312","BNK02","BUNNIK","17","UTRECHT",20118
"BNS00","BRUINISSE","1676","SWN00","SCHOUWEN-DUIVELAND","12","MIDDELBURG",20119
"BNS04","BERNISSE","0568","BNS04","BERNISSE","15","ROTTERDAM",20120
"BNV00","BARNEVELD","0203","BNV00","BARNEVELD","25","ARNHEM",20121
"BOE00","TEN BOER","0009","BOE00","TEN BOER","22","GRONINGEN",20122
"BOR00","BORN","1883","STD01","SITTARD-GELEEN","18","ROERMOND",20123
"BRC00","BLARICUM","0376","BRC00","BLARICUM","14","AMSTERDAM",20124
"BRD00","BARENDRECHT","0489","BRD00","BARENDRECHT","15","ROTTERDAM",20125
"BRM01","BIERUM","0010","DZL01","DELFZIJL","22","GRONINGEN",20126
