typeGeografischGebied;INSPIRE;voorstel Haico
bank, ondiepte, plaat;hydrography;
bosgebied;landcover;
buurtschap;administrativeUnit;populatedPlace
duingebied;landcover;
eiland;landform;
geul, vaargeul;hydrography;
heidegebied;landcover;
heuvel, berg;landform;
huizengroep;populatedPlace;
overig;other;
plaats, bewoond oord;administrativeUnit;populatedPlace
polder;landform;
streek, veld;administrativeUnit;landform
woonwijk;administrativeUnit;populatedPlace
zee;hydrography;
zeegat, zeearm;hydrography
