typeGeografischGebied;INSPIRE
;
GPS kernnetpunt;
RD punt;
aanlegsteiger;transportNetwork
arboretum;
autosnelweg;transportNetwork
baak;
bank, ondiepte, plaat;hydrography
bedrijventerrein;
begraafplaats;
bezoekerscentrum;
bomenrij;
boom;
bosgebied;
boswachterij;
brandtoren;
bron, wel;
bungalowpark;
bunker;
buurtschap;
camping, kampeerterrein;
caravanpark;
circuit;
crematorium;
crossbaan;
dam, koedam;
deelraadsecretarie;
dieptelijn;
dieptepunt;
dierentuin, safaripark;
dok;transportNetwork
droogvallend;hydrography
duingebied;
dukdalf;transportNetwork
eendenkooi;hydrography
eiland;
elektriciteitscentrale;
emplacement;transportNetwork
erebegraafplaats;
fabriek;
fort;
gaswinning;
gebouwencomplex;
gedenkteken, monument;
geluidswering;
gemaal;
gemeentehuis;
geul, vaargeul;hydrography
gevangenis;
golfmeetpaal;
golfterrein;
grafheuvel;
grenspunt;
greppel, droge sloot;hydrography
grindwinning;
groeve;
haven;transportNetwork
heemtuin;
heg, haag;
heidegebied;
hekwerk;
helikopterlandingsplatform;transportNetwork
helikopterlandingsterrein;transportNetwork
heuvel, berg;
hoofdweg;transportNetwork
hoogspanningsleiding;
hoogspanningsmast;
hoogtelijn;
hoogtepunt;
hotel;
huizenblok;
huizengroep;
hulpsecretarie;
hunebed;
ijsbaan;
infiltratiegebied;hydrography
jachthaven;transportNetwork
kaap;
kaap, hoek;
kabelbaan;
kabelbaanmast;
kade, wal;transportNetwork
kapel;
kartingbaan;
kas, warenhuis;
kasteel;
kazerne, legerplaats;
kerk;
kerncentrale, kernreactor;
kilometerpaal;
kilometerpaal spoorweg;
kilometerpaal water;
kilometerraaibord;
kilometerraaipaal;
kliniek, inrichting, sanatorium;
klokkentoren;
klooster, abdij;
koeltoren;
koepel;
kogelvanger schietbaan;
kraan;
kruis;
kunstijsbaan;
laadperron;transportNetwork
laagwaterlijn;hydrography
landgoed;
licht, lichtopstand;
lichttoren;
lokale weg;transportNetwork
luchtwachttoren;
manege;
markant object;
meer, plas, ven, vijver;hydrography
metro;transportNetwork
metrostation;transportNetwork
mijn;
militair gebouw;
militair oefengebied, schietterrein;
mosselbank;hydrography
motel;
museum;
muur;
natuurgebied, natuurreservaat;
oliepompinstallatie;
oliewinning;
onbekend;
openluchtmuseum;
openluchttheater;
overig;
paal;
paalwerk;
park;
parkeerdak, parkeerdek, parkeergarage;
peil;
peilmeetstation;
peilschaal;
pijler;
pinetum;
plaats, bewoond oord;
plantsoen;
polder;
politiebureau;
pompstation;
postkantoor;
productie-installatie;
psychiatrisch ziekenhuis, psychiatrisch centrum;
radarpost;
radartoren;
radiobaken;
radiotelescoop;
radiotoren, televisietoren;
recreatiecentrum;
recreatiegebied;
reddingboothuisje;
regionale weg;transportNetwork
religieus gebouw;
remise;transportNetwork
renbaan;
rolbaan, platform;
ruïne;
schaapskooi;
schietbaan;
school;
schoorsteen;
seinmast;
skibaan;
slipschool;
sluisdeur;transportNetwork
sluizencomplex;transportNetwork
sporthal;
sportterrein, sportcomplex;
stadion;
stadskantoor;
startbaan, landingsbaan;transportNetwork
station;transportNetwork
steile rand, aardrand;
stormvloedkering;transportNetwork
stortplaats;
straat;
strandpaal;
streek, veld;
stuw;transportNetwork
talud, hoogteverschil;
tank;
tankstation;
telecommunicatietoren;
tennispark;
terp;
tol;
toren;
tram;transportNetwork
transformatorstation;
trein;transportNetwork
treinstation;transportNetwork
tuincentrum;
uitzichttoren;
universiteit;
veiling;
verkeersgeleider;
verkeerstoren;
verzorgingsplaats;
viskwekerij;
vlampijp;
vliedberg;
vliegveld, luchthaven;transportNetwork
volkstuinen;
vuurtoren;
waterloop;hydrography
waterradmolen;
watertoren;
wegafsluiting;
wegenwachtstation;
wegrestaurant;
wegwijzer;
werf;transportNetwork
wildwissel;
windmolen;
windmolen: korenmolen;
windmolen: watermolen;
windmolentje;
windturbine;
windturbinepark;
woonwagencentrum;
woonwijk;
zandwinning;
zee;hydrography
zeegat, zeearm;hydrography
zenderpark;
zendmast;
zendtoren;
zichtbaar wrak;
ziekenhuis;
zoutwinning;
zuiveringsinstallatie;
zweefvliegveldterrein;transportNetwork
zwembad;
zwembad complex;
